dish,cuisines,ingredients,reference 
ragi dosa,South_Indian,Ragi& Whole Wheat Flour& Buttermilk& Salt,http://food.ndtv.com/recipe-ragi-wheat-dosa-463409
onion chutney,South_Indian,Onion& Red Chilli& Vinegar& Salt& Garlic,http://food.ndtv.com/recipe-onion-chutney-100423
kerala parippu curry,North_Indian,Moong dal& Turmeric& Salt& Grated coconut& Cumin seeds& Green chilli& Ghee& Mustard& Red chilli& Curry leaves,http://www.padhuskitchen.com/2011/08/kerala-parippu-curry-kerala-dal-curry.html
nariyal chutney,South_Indian,Coconut& Coriander Leaves& Green Chillies& Ginger& Rock Salt& Sugar& Lemon Juice,http://food.ndtv.com/recipe-hare-nariyal-ki-chutney-219047
vegetable korma,South_Indian,Cauliflower& Carrot& Potato& Beans& Peas& Salt& Turmeric powder& Coriander powder& onion& ginger& garlic& green chilli& coriander seeds& Coconut& Fennel seeds& Fried gram& Whole garam masala& Fennel seeds& Oil,http://www.padhuskitchen.com/2011/02/vegetable-korma-vegetable-kurma-recipe.html
lemon rasam,South_Indian,Toor dal& Ripe Tomatoes& Rasam Powder& Ginger& Green chillies& Asafoetida& Turmeric Powder& Curry Leaves& Salt& Lemon& Ghee& Mustard seeds& Cumin seeds& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2009/08/lemon-rasam.html
potato peas kurma,South_Indian,onions& Ginger& garlic& Tomato puree& Boiled potatoes& Green peas& Salt& Spice powder& Turmeric powder& Chilli powder& Coriander powder& Garam masala powder& Cashew nuts& Oil& Cumin seeds,http://www.padhuskitchen.com/2013/09/aloo-mutter-gravy-aloo-matar-masala.html
vendakkai poriyal,South_Indian,Lady's finger& Turmeric powder& Chilli Powder& Coriander powder& Curd& Salt& Oil& Mustard seeds& Urad dal& Curry leaves,http://www.padhuskitchen.com/2012/10/vendakkai-poriyal-ladies-finger-curry.html
sweet corn sundal,North_Indian,Sweet corn kernels& coconut& Salt& Oil& Mustard seeds& Urad dal& Red chilli& Hing& Green chilli& Curry leaves,http://www.padhuskitchen.com/2012/10/sweet-corn-sundal-south-indian.html
coconut rice,South_Indian,coconut& black cardamom& cinnamon& black pepper& green cardamom& coconut milk& rice& vegetable oil& mace& cloves& ginger& garlic& onion& salt,http://food.ndtv.com/recipe-coconut-rice-240324
quick tomato rasam,North_Indian,Ripe tomatoes& Whole black pepper& Cumin seeds& Curry leaves& Ghee& Mustard seeds& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2012/10/instant-tomato-rasam-easy-rasam-recipe.html
chana dal vada,South_Indian,Channa dal& Red Chillies& Saunf& Onion& Green chillies& Curry leaves& Coriander leaves& Salt& Oil,http://www.padhuskitchen.com/2012/05/masala-vada-paruppu-vadai-south-indian.html
gobi 65,South_Indian,Cauliflower florets& Turmeric powder& Chilli powder& Rice flour& Cornflour& Ginger& Garlic& Garam masala& Coriander powder& Thick curd& Salt& Oil,http://www.padhuskitchen.com/2012/01/gobi-65-cauliflower-65-cauliflower.html
carrot ginger soup,North_Indian,Carrots& Onion& Ginger& Garlic& Olive oil& Salt& pepper,http://www.padhuskitchen.com/2013/05/easy-carrot-soup-recipe-carrot-ginger.html
gutti vankaya kura,South_Indian,eggplant& vegetable oil& cinnamon& green cardamom& cloves& green chillies& cumin seeds& mustard seeds& garlic& onion& curry leaves& turmeric& tomato& red chilli& coriander powder& coconut& salt& tamarind& Coriander leaves,http://food.ndtv.com/recipe-gutti-vankaya-kura-351828
beetroot chutney,South_Indian,Beetroot& Coconut& Oil& Urad dal& Bengal gram& Red Chillies& Hing& Ginger& Tamarind& Curry leaves& Salt& Oil& Mustard seeds& Urad dal& Curry leaves,http://www.padhuskitchen.com/2016/05/beetroot-chutney-beetroot-thogayal.html
7 cup barfi,North_Indian,Bengal gram flour& Ghee& coconut& Milk& Sugar& Cashew nuts,http://www.padhuskitchen.com/2012/10/7-cup-burfi-recipe-diwali-sweets-indian.html
pepper rasam,South_Indian, Tomatoes& Tamarind& Whole black pepper& Cumin seeds& Garlic& Turmeric powder& Sambar powder& Curry leaves& Salt& Ghee& Mustard seeds& Red chilli& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2012/09/pepper-rasam-milagu-rasam-recipe.html
milk kesari,South_Indian,semolina& clarified Butter& Sugar& cashew nuts& raisins& condensed milk& saffron& green cardamom,http://food.ndtv.com/recipe-kesari-semolina-pudding-218341
paneer sandwich,North_Indian, Cottage Cheese& butter& cumin seeds& onion& green chillies& tomato& bread& turmeric& red chilli& salt,http://food.ndtv.com/recipe-paneer-toasty-sandwich-227998
mushroom pepper fry,South_Indian,Button Mushrooms& Capsicum& Onions& Garlic& Oil& Black pepper powder& Salt,http://www.padhuskitchen.com/2011/06/mushroom-fry-mushroom-pepper-fry-how-to.html
garlic rasam,South_Indian,Tamarind& Garlic& Tomato& Salt& Whole black pepper& Cumin seeds& Tur dal& Garlic& Ghee& Mustard& Cumin& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2010/02/garlic-rasam.html
paal payasam,South_Indian,Rice& sugar& clarified butter& cashew nuts& raisins& Green Cardamom,http://food.ndtv.com/recipe-paal-payasam-218352
oats dosa,South_Indian,oats& semolina& rice& flour& water& onion& green chilli& coconut& Ghee& oil& Salt& yogurt& coriander leaves& curry leaves,http://food.ndtv.com/food-drinks/oats-dosa-recipe-the-quickest-way-to-make-a-south-indian-favourite-1291272
pomegranate juice,North_Indian,Beetroot& Pomegranate& Indian Gooseberry& Black Pepper,http://food.ndtv.com/recipe-pomegranate-juice-349485
mysore pak,South_Indian,Sugar& Gram flour& Clarified Butter,http://food.ndtv.com/recipe-mysore-pak-466045
lemon rice,South_Indian,Basmati Rice& Vegetable Oil& Asafoetida& Curry Leaves& Asafoetifda& Mustard Seeds& Ginger& Green chillies& Red chilli& Bengal Gram & Black Gram& Turmeric& Lemon Juice& Salt& Coriander Leaves,http://food.ndtv.com/recipe-lemon-rice-487508
poori masala,South_Indian,Potatoes& Onion& Tomato& Green chilli& Turmeric powder& Salt& Oil& Mustard& Urad dal& Channa dal& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2012/11/poori-masala-recipe-potato-masala-for.html
sweet paniyaram,South_Indian,Idli batter& Jaggery& Grated coconut& Cardamom& Salt& Ghee,http://www.padhuskitchen.com/2013/03/sweet-paniyaram-sweet-paniyaram-recipe.html
rava uttapam,South_Indian,Semolina& Curd& Salt& Baking soda& Onion& Green chilli& Tomato& Coriander leaves& Oil,http://www.padhuskitchen.com/2015/06/rava-uttapam-instant-sooji-uthappam.html
chilli paneer restaurant style,North_Indian,Paneer& Onion& Green Chilli& Capsicum& Soya sauce& Chilli sauce& Tomato ketchup& Oil& Spring onion& Cornflour& flour& Ginger& garlic& Pepper& Salt,http://www.padhuskitchen.com/2012/06/chilli-paneer-recipe-dry-paneer-recipes.html
misal pav,North_Indian,vegetable oil& potatoes& cumin seeds& salt& red chilli& garam masala& turmeric& cinnamon& cloves& coriander powder& ginger& garlic& asafoetida& onion& tomato& coconut& lemon juice& coriander leaves,http://food.ndtv.com/recipe-misal-pav-154077
hotel style veg kurma,South_Indian,Onion& Tomato& Ginger& garlic& Green chilli& Turmeric powder& Sambar powder& Cauliflower& Green peas& Carrot& Beans& Potato& coconut& Fennel seeds& Chutney kadalai& Cashew nuts& Oil& Cloves& Cinnamon,http://www.padhuskitchen.com/2013/11/chapati-kurma-recipe-mixed-vegetable.html
spicy coconut chutney,South_Indian,coconut& Red chilli& Garlic& Fried gram& Tamarind& Oil& Mustard& Urad dal& Curry leaves,http://www.padhuskitchen.com/2012/03/coconut-chutney-with-red-chillies.html
cabbage kootu,South_Indian,Cabbage& Moong dal& Sambar powder& Turmeric powder& Curry leaves& Brown chenna& Salt& coconut& Cumin seeds& Fried gram& Oil& Mustard seeds& Urad dal& Hing& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2013/05/cabbage-kootu-easy-cabbage-kootu-recipe.html
onion pakoda,South_Indian,onions& green chillies& red chilli& coriander& chopped& lemon juice&cumin& ajwain& Salt& gram flour& water,http://food.ndtv.com/recipe-onion-pakoda-218005
kesari bhath,South_Indian,Semolina& Ghee& Sugar& Water& Cashew nuts& Raisins& Cardamom& Kesari Powder,http://www.padhuskitchen.com/2010/05/rava-kesari-recipe.html
corn salsa,North_Indian,Corn& Onion& Lemon juice& Salt& Coriander Leaves& Raw Mango Powder& Cumin Seeds& Jalapeno& paprika,http://food.ndtv.com/recipe-spicy-corn-salsa-342012
ghee rice,South_Indian,Basmati rice& Onion& Ghee& Cinnamon& Cardamon& Cloves& Bay leaf& Star anise,http://www.padhuskitchen.com/2011/02/ghee-rice-how-to-make-ghee-rice-ghee.html
beetroot poriyal,South_Indian,Beetroot Grated coconut& Salt& Oil& Mustard seeds& Urad dal& Green chillies& Hing& Curry leaves,http://www.padhuskitchen.com/2012/03/beetroot-poriyal-beetroot-stir-fry.html
chana sundal,South_Indian,Chick peas& Raw mango& Coconut& Mustard& Urad dal& Red chillies& asafoetida& Curry leaves& Oil,http://www.padhuskitchen.com/2010/08/chickpeas-sundal-recipe-how-to-make.html
capsicum masala,South_Indian,Capsicum& Bell Pepper& Tomato& Onion& Ginger& Garlic& Oil& Peanuts& Sesame Seeds& Turmeric& Coriander Powder& Garam Masala,http://food.ndtv.com/recipe-capsicum-masala-859861
oats upma,South_Indian,Oats& Rava& Onion& Green chilli& Ginger& carrot& beans& peas& cauliflower& potato& capsicum& Water& Salt& Oil& Mustard seeds& Urad dal& Red chilli& Hing& Curry leaves,http://www.padhuskitchen.com/2011/12/oats-upma-recipe-how-to-make-oats-upma.html
upma,South_Indian, vegetable oil& onion& green chillies& ginger& garlic& desiccated coconut& salt& tomato& yogurt& lemon juice& mustard seeds& cumin seeds& curry leaves& black gram& semolina& turmeric& coriander leaves,http://food.ndtv.com/recipe-upma-218172
rava kichadi,North_Indian,Rava& Onion& Ginger& Green chillies& beans& carrot& peas& tomato& Turmeric powder& Water& Oil& Ghee& Mustard seeds& Bengal gram& Urad dal& Curry leaves,http://www.padhuskitchen.com/2013/08/rava-kichadi-semolina-sooji-khichdi.html
instant mango pickle,South_Indian,Raw mango& Chilli Powder& Salt& Oil& Mustard seeds& Asafoetida& Curry leaves,http://www.padhuskitchen.com/2011/04/instant-mango-pickle-instant-mango.html
aloo bonda,South_Indian, Potatoes& curry leaves& rock salt& carom seeds& Water Chestnut flour& green chillies& vegetable oil& coriander leaves& lemon juice,http://food.ndtv.com/recipe-aloo-bonda-484403
curry leaves chutney,South_Indian, Onion& Garlic& Green Chillies& Tamarind& Castor Sugar,http://food.ndtv.com/recipe-curry-leaves-chutney-218464
schezwan dosa,North_Indian,Onion& Garlic& Beans& Carrot& Cabbage& Capsicum& Schezwan Chutney& Salt& pepper& Oil& Spring onion greens,http://www.padhuskitchen.com/2013/11/schezwan-dosa-recipe-how-to-make.html
carrot poriyal,North_Indian,Carrot& coconut& Mustard& Urad dal& Hing& Green chilli& Curry leaves& Oil,http://www.padhuskitchen.com/2011/11/carrot-poriyal-carrot-stir-fry-carrot.html
tomato rasam,South_Indian, pigeon pea& curry leaves& tomato& black pepper& mustard seeds& red chilli& garlic& salt& vegetable oil& tamarind& cumin seeds& coriander seeds& coriander leaves,http://food.ndtv.com/recipe-rasam-218325
rava kesari,South_Indian,semolina& sugar& ghee& saffron& milk& cashews& cardamoms,http://food.ndtv.com/food-drinks/rava-kesari-the-south-indian-dessert-with-a-sprinkle-of-saffron-1283956
masala vada,South_Indian,chick peas& soya bean& Green chillies& onions& ginger& Salt& oil,http://food.ndtv.com/recipe-masala-vada-98743
poornam boorelu,South_Indian,Black gram& Jaggery& Rice Flour& Bengal Gram(split)& Salt& coconut& butter& green cardamom& sugar,http://food.ndtv.com/recipe-poornam-boorelu-486402
carrot rice,South_Indian,Basmati rice& Carrots& Onions& Groundnuts& Oil& cinnamon& cloves& cardamom& Mustard& Urad dal& Channa dal& Curry leaves& Coriander seeds& Cumin seeds& Red chillies& Grated coconut,http://www.padhuskitchen.com/2010/06/carrot-rice.html
chana masala,South_Indian,Channa& Onion& Tomato& Green chilli& Ginger& Garlic& Salt& Turmeric Powder& Chilli Powder& Coriander Powder& Channa masala Powder& Oil& Cumin Seeds& Bay leaf,http://www.padhuskitchen.com/2011/02/channa-masala-chole-masala-how-to.html
mango rice,South_Indian,Mango& Rice& Mustard& Channa Dal& Urad Dal& Turmeric& Curry Leaves& Green Chilli& Sesame Oil& Salt,http://food.ndtv.com/recipe-mango-rice-843222
vermicelli upma,South_Indian,Vermicelli& Broad Beans& Carrots& Green Peas& Salt& Peanuts& Curry Leaves& Green Chillies& Cumin Seeds,http://food.ndtv.com/recipe-vermicelli-upma-855092
paneer 65,South_Indian, Cottage Cheese& Red Chilli& Black Pepper& Flour& Yogurt& Ginger& Garlic& salt& egg& vegetable oil,http://food.ndtv.com/recipe-paneer-65-219486
masala paniyaram,South_Indian,Idli Batter& Oil& Mustard seeds& Urad dal& Bengal gram dal& Onion& Green chilli& Ginger& Curry leaves& Coriander leaves& Salt,http://www.padhuskitchen.com/2012/11/kuzhi-paniyaram-masala-paniyaram-recipe.html
potato pulao,South_Indian,Basmati Rice& Baby potatoes& Capsicum& Onion& Tomato puree& Salt& Onion& Tomato& Ginger& Garlic& Red chillies& Coriander seeeds& coconut& Turmeric& Garam masala& Oil& Bay leaf& Cumin seeds& Cinnamon,http://www.padhuskitchen.com/2013/02/potato-rice-potato-capsicum-pulao-aloo.html
akki roti,North_Indian,Rice flour& Onion& Green chilli& Cumin seeds& Grated coconut& Coriander leaves& Salt,http://www.padhuskitchen.com/2014/09/akki-roti-recipe-how-to-make-karnataka.html
rava dosa,South_Indian,Semolina& Rice Flour& All Purpose Flour& Vegetable Oil& Buttermilk& Coriander Leaves& Green Chillies& baking soda,http://food.ndtv.com/recipe-rava-dosa-463414
kadala curry,South_Indian, Whole Bengal Gram& Coconut& Shallots& Red Chilli& Coriander Leaves& Curry Leaves& Coconut Oil& Garlic& Salt& Mustard Seeds& Onion& Garam Masala,http://food.ndtv.com/recipe-kadala-curry-544253
medu vada,South_Indian,Urad Dal& green chilli& ginger& coconut& Curry leaves& coriander leaves& black pepper& Cumin seeds& oil& Salt,http://food.ndtv.com/food-drinks/medu-vada-what-makes-it-such-a-popular-breakfast-treat-1679693
carrot chutney,North_Indian,Oil& Carrots& Pearl Onions& Garlic& Green Chillies& Ginger& Tamarind& Salt& Oil& Mustard seeds& Urad dal& Curry leaves,http://www.padhuskitchen.com/2016/03/carrot-chutney-recipe-carrot-chutney.html
sambar powder,South_Indian, Red Chillies& Coriander Seeds& Toor Dal& Whole Black Pepper& Cumin Seeds& Fenugreek& Turmeric,http://www.padhuskitchen.com/2009/08/recipe-for-sambar-powder-and-rasam.html
maladu,South_Indian,gram dal& sugar& Ghee& Cardamom powder& Cashew nuts& Raisins,http://www.padhuskitchen.com/2015/09/maaladu-recipe-roasted-gram-ladoo.html
mushroom korma,South_Indian,Button Mushrooms& Onion& Ginger& garlic& Green chilli& Tomato& Salt& Turmeric& Coriander powder& Red chilli powder& Garam masala& Coconut milk& Oil& Mustard seeds,http://www.padhuskitchen.com/2010/10/mushroom-korma-mushroom-gravy-indian.html
mysore rasam,South_Indian,Tomatoes& Tur Dal& Tamarind& Turmeric Powder& Asafoetida& Curry leaves& Salt& Coriander seeds& Bengal gram Dal& Whole black pepper& Red chillies& Coconut& Ghee& Mustard seeds& Jeera& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2009/07/mysore-rasam.html
oats khichdi,North_Indian,Rolled Oats& Moong Dal& Turmeric& Salt& Onion& Ginger& Green Chilli& Garlic& Tomato& Carrot& Beans& Oil& Ghee& Cumin seeds& Whole black pepper& Asafoetida& Curry leaves& Ghee& Coriander leaves,http://www.padhuskitchen.com/2016/11/oats-khichdi-recipe-lunch-recipes-with.html
chettinad mushroom biryani,South_Indian,Basmati Rice& Button mushroom& Onion& Green chilli& Ginger& Garlic& Tomato& Curd& Coriander leaves& Mint& Lemon& Salt& Chilli Powder& Coriander powder& Biryani Masala& Oil& Cloves& Cardamom& Cinnamon,chettinad mushroom biryani
oats uttapam,South_Indian,Oats& Rava& Curd& Cumin seeds& Oil& Onion& Green chilli& Carrot grated& Cabbage grated& Coriander& Salt,http://www.padhuskitchen.com/2013/09/oats-uttapam-how-to-make-oats-uthappam.html
green peas sundal,South_Indian,Dry green peas& Grated coconut& Raw mango& Salt& Oil& Mustard seeds& Urad dal& Red chilli& Hing& Curry leaves,http://www.padhuskitchen.com/2012/09/peas-sundal-recipe-pattani-sundal.html
arachuvitta sambar,South_Indian,Tur dal& Tamarind& Onion& Radish& Salt& Coriander seeds& Bengal gram dal& Red chillies& Grated coconut& Raw rice& Oil& Mustard seeds& Fenugreek seeds& Asafoetida& Curry leaves& Coriander Leaves,http://www.padhuskitchen.com/2009/10/araichu-vitta-sambar.html
punugulu,South_Indian,All Purpose Flour& Onion& Green Chillies& Yogurt& Salt& Coriander Leaves& Vegetable Oil,http://food.ndtv.com/recipe-punugulu-466631
onion rava dosa,South_Indian,Semolina& rice flour& green chillies& ginger& black pepper& cumin seeds& salt& asafoetida& onion& cashew nuts,http://food.ndtv.com/recipe-onion-rava-dosa-219188
palak paneer,North_Indian,spinach& vegetable oil& onion& tomato& salt& red chilli& cottage cheese& ginger& garlic& bay leaf& cumin seeds& garam masala& coriander seeds& pimiento,http://food.ndtv.com/recipe-palak-paneer-98895
pineapple payasam,South_Indian,pineapple& Sugar& coconut milk& clarified butter& cumin seeds& dry ginger powder& raisins& green cardamom& chironji& Cashew Nuts,http://food.ndtv.com/recipe-pineapple-payasam-219599
mint coconut chutney,South_Indian,Mint Leaves& Onion& Garlic& Ginger& Green Chillies& Coconut& Lemon Juice& Cumin seeds& black gram& Bengal Gram& Olive Oil& Salt,http://food.ndtv.com/recipe-coconut-mint-chutney-227505
idli fry,South_Indian,semolina& curry leaves& mustard seeds& yogurt& vegetable oil& red chilli& salt,http://food.ndtv.com/recipe-masala-rava-idli-219430
peanut chutney,South_Indian,Peanuts& Grated coconut& Red chillies& Tamarind& Salt& Oil& Mustard& Urad dal& Curry leaves,http://www.padhuskitchen.com/2011/05/peanut-chutney-peanut-chutney-recipes.html
carrot payasam,South_Indian,carrot& clarified butter& raisins& cashew nuts& sugar& milk,http://food.ndtv.com/recipe-carrot-payasam-255658
potato podimas,South_Indian,Potatoes& Turmeric powder& Lemon& Salt& Oil& Mustard seeds& Urad dal& Bengal gram& Hing& Ginger& Green Chilli& Curry Leaves& Coriander leaves,http://www.padhuskitchen.com/2016/08/potato-podimas-recipe-urulaikizhangu.html
oats idli,South_Indian,Oats& mustard seeds& vegetable oil& green chillies& carrot& turmeric& salt& yogurt& Black gram& coriander leaves,http://food.ndtv.com/recipe-oats-idli-339011
pineapple rasam,South_Indian,Tomato& Tur dal& Green chilli& Rasam powder& Turmeric Powder& Hing& Pineapple& Pineapple juice& Ghee& Mustard& Cumin& Curry leaves,http://www.padhuskitchen.com/2011/04/pineapple-rasam-pineapple-rasam-recipe.html
ragi idli,South_Indian,Idli Rice& Ragi flour& Urad dal& Fenugreek& Salt,http://www.padhuskitchen.com/2015/01/ragi-idli-recipe-soft-finger-millet.html
bisi bele bath masala,South_Indian,Raw Rice& Tur dal& Tamarind& Oil& Ghee& Onions& Beans& Carrot& Potato& Peas& Tomato& Capsicum& Oil& Kopra& Coriander seeds& Red chillies& Bengal gram& Urad dal& Fenugreek& Cinnamon& Cloves& Cardamom& Khus khus& Mustard& Fenugreek& Curry leaves& Asafoetida,http://www.padhuskitchen.com/2009/11/bisibelabathsambar-sadam.html
pani puri,North_Indian,Ice cold water& Green chutney& Sweet chutney& Chilli powder& Chaat masala& Cumin& Boondi,http://www.padhuskitchen.com/2013/07/pani-puri-recipe-how-to-make-pani-poori.html
badam halwa,South_Indian,Almonds& poppy seeds& khoya& sugar& clarified butter& saffron& green cardamom& milk,http://food.ndtv.com/recipe-badam-halwa-and-barfis-218233
urad dal ladoo,South_Indian,urad dal& Whole green gram& Payaru ulundu mavu& Natural unrefined cane sugar& Ghee& Assorted nuts& Raisins& Cardamom& Sesame seeds,http://www.padhuskitchen.com/2014/10/payaru-ulundu-urundai-payatham-maavu.html
pumpkin erissery,South_Indian,Pumpkin& Curry leaves& coconut& turmeric& Salt& garlic& cumin seeds& green chillies& black pepper& vegetable oil& mustard seeds& red chilli,http://food.ndtv.com/recipe-erissery-417848
tamarind rice,South_Indian, Rice& black gram& Clarified Butter& Asafoetida& Mustard& Salt& Tamarind& Chilli Powder& Peanuts& Curry Leaves& Red Chilli& Mustard Seeds& Bengal Gram& Sugar,http://food.ndtv.com/recipe-tamarind-rice-219403
pepper cumin rasam,South_Indian,Tomatoes& Tamarind& Whole black pepper& Cumin seeds& Garlic& Turmeric powder& Sambar powder& Curry leaves& Salt& Ghee& Mustard seeds& Red chilli& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2012/09/pepper-rasam-milagu-rasam-recipe.html
arbi roast,South_Indian,Colocasia& Turmeric powder& Chilli powder& Coriander& Cumin& Oil& Salt& Oil& Mustard seeds,http://www.padhuskitchen.com/2010/08/arbi-roast-colocasia-recipe.html
thandai,North_Indian, Green cardamom& fennel& milk& black pepper& coriander seeds& melon seeds& almonds& sugar& rose water,http://food.ndtv.com/recipe-thandai-218155
bread upma,South_Indian,Broad Beans& Carrot& Green Peas& Green Chillies& Salt& Curry Leaves& Peanuts& Lemon& Oil,http://food.ndtv.com/recipe-bread-upma-855072
pineapple kesari,South_Indian,Rava& Sugar& Ghee& Water& Pineapple& Cashew nuts& Cardamom powder& kesari color,http://www.padhuskitchen.com/2014/10/pineapple-kesari-recipe-pineapple-rava.html
moong dal payasam,South_Indian, green gram& clarified butter& green cardamom& coconut milk& cinnamon& Sugar& milk,http://food.ndtv.com/recipe-moong-dal-payasam-241132
poha upma,South_Indian,Poha& Onion& Green chilli& Ginger& Turmeric& Roasted peanuts& Lemon juice& Oil& Mustard seeds& Cumin seeds& Hing& Red chilli& Curry leaves& coconut& coriander leaves,http://www.padhuskitchen.com/2012/06/aval-upma-poha-upma-recipe-aval-recipes.html
capsicum fry,South_Indian,capsicum& vegetable oil& jaggery& lemon juice& french beans& garlic& sesame oil& spring onion& cashew nuts& honey& soya sauce,http://food.ndtv.com/recipe-capsicum-stir-fry-99149
yam stir fry,South_Indian,Senai& Tamarind& Chilli powder& Coriander powder& Cumin powder& Turmeric powder& Kadalai mavu& Hing& Salt& Oil,http://www.padhuskitchen.com/2013/12/senai-kizhangu-varuval-elephant-foot.html
veg bonda,South_Indian,Onion& Green chilli& Potato& Carrot& Peas& Beans& Chilli powder& Turmeric& Salt& Mustard seeds& Besan& Rice flour& Red chilli powder& Cooking soda& Salt& Oil,http://www.padhuskitchen.com/2013/09/vegetable-bonda-recipe-how-to-make.html
idli upma,South_Indian,vegetable oil& mustard seeds& turmeric& onion& red chilli& salt& curry leaves& bengal gram,http://food.ndtv.com/recipe-idli-upma-372757
uttapam,South_Indian,rice& bengal gram& fenugreek seeds& salt& vegetable oil,http://food.ndtv.com/recipe-uttapam-489019
